Lead Service Address,x,y
128 G ST SOUTH BOSTON,779477.4997783452,2946143.9336674064
128 MOUNT PLEASANT AV ROXBURY,770685.3135346323,2943786.673606828
128 WEST NINTH ST SOUTH BOSTON,776677.9679841995,2947344.167048186
129 CHISWICK RD BRIGHTON,751638.9952834845,2949499.088104427
129 ENDICOTT ST BOSTON,775844.0492614955,2958248.3549337983
129 FRANKLIN ST ALLSTON,755623.2122030705,2956624.9205114096
129 G ST SOUTH BOSTON,779382.5757365078,2946153.151334837
129 HARRISHOF ST ROXBURY,767159.0436148942,2940900.0032387674
129 NORWELL ST ROXBURY,770113.9019204676,2933863.516371891
13 ALLSTON ST ALLSTON,754817.9843434542,2953798.4627013654
13 BREWSTER ST SOUTH BOSTON,780404.2613779902,2946231.886925742
13 CLIFTON ST ROXBURY,772169.7970864624,2943206.6981291324
13 DACIA ST DORCHESTER,770476.2238990664,2939916.215241164
13 DUDLEY ST ROXBURY,767245.362968266,2945302.302356854
13 EDEN ST CHARLESTOWN,772914.2734988183,2963474.192049861
13 GASTON ST ROXBURY,769121.1203390062,2939542.010784745
13 HARTFORD ST DORCHESTER,771523.1103245616,2940987.0081487894
13 LONGFELLOW ST DORCHESTER,773388.919412598,2935491.359585777
13 LORING ST SOUTH BOSTON,777278.6048146039,2947206.791718036
13 MERLIN ST DORCHESTER,771179.005040586,2933165.047251627
13 ORCHARDFIELD ST DORCHESTER,775540.0364913046,2936068.197590962
13 PRIESING ST JAMAICA PLAIN,763263.8048109263,2942503.7594335675
13 SALEM ST CHARLESTOWN,773406.8076932132,2962859.601253763
13 SAVIN HILL CT DORCHESTER,777573.6064613312,2939465.4422423393
13 SCHUYLER ST ROXBURY,768435.1079674363,2937626.836779833
13 TREMLETT ST DORCHESTER,772330.404228732,2932642.44533512
13 WIGET ST BOSTON,776100.5021821111,2958017.188680798
13 WOODWARD ST SOUTH BOSTON,776078.4234478325,2946182.3181865364
130 CUSHING AV DORCHESTER,774891.4031356275,2939382.7284874916
130 EVERETT ST EAST BOSTON,782360.8784463108,2959235.810825765
130 WORDSWORTH ST EAST BOSTON,787365.0820849091,2965184.8990124464
131 BOSTON ST DORCHESTER,775309.4109420031,2943843.313528657
131 PRINCETON ST EAST BOSTON,781905.9854546636,2963065.9020920843
131 SPENCER ST DORCHESTER,770931.4601226449,2931903.105003074
132 CHANDLER ST BOSTON,771271.1653849483,2951373.957608238
132 HOMESTEAD ST ROXBURY,767444.9128729552,2938703.699902937
132 KING ST DORCHESTER,777133.1718502343,2932625.698338479
1320 DORCHESTER AV DORCHESTER,775552.4566487521,2936711.851210743
133 CHISWICK RD BRIGHTON,749876.3865117729,2949448.371428281
133 HAVRE ST EAST BOSTON,781030.587682113,2961298.6498610526
133 PRINCETON ST EAST BOSTON,781925.1873912513,2963075.5900023878
133 TONAWANDA ST DORCHESTER,772311.4064168632,2933862.8123684227
133 WEST THIRD ST SOUTH BOSTON,777307.9032133371,2949516.6655106544
134 CAMDEN ST BOSTON,769176.2503427416,2948508.6958405823
134 TRENTON ST EAST BOSTON,781922.7775099576,2963766.5893675983
134 WEST CANTON ST BOSTON,771093.7011698782,2950135.0554457754
1343 COMMONWEALTH AV ALLSTON,754641.640243873,2952243.5691254586
135 EUSTIS ST ROXBURY,770206.5941987187,2945111.5694303364
135 GREATON RD WEST ROXBURY,750099.4936185032,2931894.0161610097
135 LONDON ST EAST BOSTON,780866.5820901096,2961473.590792194
135 WEBSTER ST EAST BOSTON,781597.9107538015,2958760.335107222
136 RUTHVEN ST ROXBURY,767300.2964074612,2939169.3830783665
1360 COMMONWEALTH AV ALLSTON,754527.8868308663,2951740.436775729
137 BOSTON ST DORCHESTER,775284.4496643245,2943780.9396678954
137 CAROLINA AV JAMAICA PLAIN,761592.2238693982,2937423.729359314
137 GENEVA AV DORCHESTER,770316.5227681398,2936699.369967088
137 LEYDEN ST EAST BOSTON,789382.6332543194,2967116.335558027
1371 COMMONWEALTH AV ALLSTON,754409.2371462882,2952233.589997232
138 DEVON ST ROXBURY,770776.5194825381,2937523.5632810295
138 MERIDIAN ST EAST BOSTON,780665.857031852,2961562.6792863607
138 NONANTUM ST BRIGHTON,744451.2114783078,2952712.2125629038
138 TRAIN ST DORCHESTER,777088.1340749413,2931422.6283801347
138 WASHINGTON ST ROXBURY,769923.2842110097,2936378.705156043
138 WEST NEWTON ST BOSTON,770383.0172265172,2949956.281808451
139 SAINT ALPHONSUS ST ROXBURY,763839.6300550997,2946450.1080427617
139 THORNTON ST ROXBURY,766438.1975870728,2942867.4891166985
139 WEST CANTON ST BOSTON,771119.6026308984,2950244.1938257217
14 ALASKA ST ROXBURY,770044.3719007224,2942405.700036064
14 ALPHA RD DORCHESTER,773093.447825402,2933168.832782328
14 ASHLEY ST JAMAICA PLAIN,763281.5999501944,2942187.6261912584
14 ATHERTON ST ROXBURY,764515.2263203412,2940523.4744822383
14 BOULEVARD TER ALLSTON,753671.0263043493,2951656.5433312207
14 CHAMBLET ST DORCHESTER,771774.3161815107,2940370.6098661125
14 CHARLESVIEW ST BRIGHTON,746221.9692111462,2955154.4435441047
14 CHELSEA ST EAST BOSTON,780902.8089353591,2960368.6295236945
14 DORSET ST DORCHESTER,775741.353360042,2943223.163282454
14 DRESDEN ST JAMAICA PLAIN,762327.9824930876,2940682.1223296225
14 DUDLEY TER DORCHESTER,773309.220050618,2941359.267825857
14 DUVAL ST BRIGHTON,753325.5834742486,2956527.2403322756
14 DWINELL ST WEST ROXBURY,747744.285691753,2931350.319844976
14 EAST COTTAGE ST DORCHESTER,772154.355883196,2942516.9461927265
14 ELDER ST DORCHESTER,774254.7296739519,2942023.18483077
14 EVERETT AV DORCHESTER,774421.6353489906,2940226.7049642503
14 FAIRVIEW ST ROSLINDALE,756032.8772054315,2930528.5203847736
14 GRANT ST DORCHESTER,776477.6711342484,2941337.240198374
14 GRIMES ST SOUTH BOSTON,777355.7718204558,2947084.254894033
14 HARRIET ST BRIGHTON,749407.3974231333,2953821.6428018957
14 HILLSIDE ST ROXBURY,764246.0892409831,2945373.478680253
14 HOWLAND ST ROXBURY,768512.5816139728,2938882.093112275
14 INTERVALE ST ROXBURY,769387.840279296,2939134.8146330416
14 LEEDS ST SOUTH BOSTON,776117.1242846698,2945801.4683365226
14 LINLEY TER SOUTH BOSTON,780770.9567664564,2947767.326357633
14 MAYFAIR ST ROXBURY,767039.5928542018,2942001.103374839
14 MOSELEY ST DORCHESTER,776363.7622840405,2941761.7225383967
14 MOULTRIE ST DORCHESTER,772987.7499297708,2931652.739837557
14 PACIFIC ST SOUTH BOSTON,779076.8041672707,2947053.385793403
14 SCHILLER ST JAMAICA PLAIN,762931.8027618676,2943897.4386339635
14 SOUTHWOOD ST ROXBURY,770116.6997899264,2941125.45702374
14 SPAULDING ST DORCHESTER,776645.7428906262,2931839.5036723465
14 STOCKWELL ST ROXBURY,762379.5356269479,2946234.8592840284
14 THETFORD AV DORCHESTER,770107.3520874828,2929468.95554626
14 TOWNSEND ST ROXBURY,766243.3026331514,2941840.173564315
14 UNITY ST BOSTON,776718.8416152447,2958769.7106311023
14 VARNEY ST JAMAICA PLAIN,760421.7951166481,2932938.218119666
14 VICTORIA ST DORCHESTER,775613.4070798159,2940339.86021623
14 WAYNE ST DORCHESTER,768338.6918495148,2937149.8224145174
14 WEST TREMLETT ST DORCHESTER,771778.856822446,2932556.2194255143
14 WESTCOTT ST DORCHESTER,770162.4055822641,2932151.5674238056
14 WHITMAN ST DORCHESTER,770648.1794684082,2929932.0815681815
140 ARBORWAY JAMAICA PLAIN,759017.310309723,2937704.6282560974
140 BOWDOIN ST DORCHESTER,772194.017769441,2936038.800305143
140 WASHINGTON ST BRIGHTON,751941.8253399283,2951018.749149248
140 WEST SEVENTH ST SOUTH BOSTON,777138.7189016342,2947628.1504962742
1404 DORCHESTER AV DORCHESTER,775429.0531263202,2935775.518429905
141 ARLINGTON ST BOSTON,772518.789267391,2952348.320184812
141 CHELSEA ST EAST BOSTON,781926.5833019018,2961373.9495037347
141 CHISWICK RD BRIGHTON,749758.1901352704,2949502.8757519573
141 SPENCER ST DORCHESTER,770973.320205301,2931774.079734698
142 K ST SOUTH BOSTON,781259.66641967,2948465.737415746
142 MINDEN ST JAMAICA PLAIN,762436.8003216237,2943813.709698871
142 PRINCE ST BOSTON,775737.0222871453,2958874.1992011815
1422 COMMONWEALTH AV BRIGHTON,753654.6691102982,2952239.15005213
1426 COMMONWEALTH AV BRIGHTON,753606.9879955202,2952199.8867383003
143 EUTAW ST EAST BOSTON,782049.7013521492,2963983.8954010755
1430 COLUMBIA RD SOUTH BOSTON,779776.4662831128,2945844.8362204283
1431 COMMONWEALTH AV BRIGHTON,753442.7891654372,2952435.0060554594
144 CALUMET ST ROXBURY,763551.7999901325,2945589.436583355
144 FALCON ST EAST BOSTON,782340.45871678,2964616.998041019
144 SAINT ANDREW RD EAST BOSTON,791476.8436882347,2965153.014126748
1442 DORCHESTER AV DORCHESTER,775308.967008546,2935267.272982791
145 SUTHERLAND RD BRIGHTON,751583.532934472,2949447.3111893833
1450 CENTRE ST ROSLINDALE,754208.672061339,2931933.9995058924
146 BOSTON ST DORCHESTER,775343.4616665691,2943601.495896682
146 CHISWICK RD BRIGHTON,749697.8381676525,2949403.7497650087
146 EVERETT ST EAST BOSTON,782462.9459460527,2959018.3681043535
146 GOVE ST EAST BOSTON,782188.2125229537,2960149.0723726004
146 STANWOOD ST ROXBURY,770472.5245543718,2937464.632021427
146 SUTHERLAND RD BRIGHTON,751511.5673288256,2949501.4480885565
146 WOODROW AV DORCHESTER,768450.1016083658,2929805.745907575
147 EAST BERKELEY ST BOSTON,773813.0068090856,2950503.7733321935
147 RUTHVEN ST DORCHESTER,767379.2473121285,2938965.5199427903
147 WEST NINTH ST SOUTH BOSTON,776746.7438009083,2947155.352591604
148 STRATHMORE RD BRIGHTON,749834.9664312899,2948809.0667234063
148 TRENTON ST EAST BOSTON,782077.8750992864,2963823.8610176444
149 HARVARD AV ALLSTON,755671.9701891392,2953309.188454315
149 PEARL ST BOSTON,776816.5656434,2954532.8795452267
149 ROXBURY ST ROXBURY,767234.4448663294,2945768.4200911373
149 STRATHMORE RD BRIGHTON,749934.1386865079,2948904.48822473
15 BOARDMAN ST EAST BOSTON,788948.7886963189,2966680.9333016276
15 BRAEMORE RD BROOKLINE,750352.0509322882,2948454.7748599946
15 BRENT ST DORCHESTER,772448.8110804856,2930586.413481161
15 CAWFIELD ST DORCHESTER,774205.8815706074,2941934.745604411
15 CHARLOTTE ST ROXBURY,768291.4449911714,2934498.256848097
15 CHARTER ST BOSTON,776909.775944829,2958856.8969853073
15 CHIPMAN ST DORCHESTER,771225.4816683233,2930367.742080152
15 COLBORNE RD BRIGHTON,751919.9709916562,2949990.7961229235
15 COLEMAN ST DORCHESTER,773683.3171525598,2937892.125125438
15 COLLISTON RD BRIGHTON,751955.7227555215,2949027.5318828523
15 CUSHING AV DORCHESTER,773873.2417452037,2940509.6484346986
15 DENBY RD ALLSTON,754937.7402327806,2954756.9168558717
15 DORIS ST DORCHESTER,776092.6510918587,2939595.0747439414
15 DORSET ST DORCHESTER,775701.9194886684,2943355.7781217843
15 GARDEN ST BOSTON,773173.1771256626,2956799.0788132697
15 GARDNER ST ALLSTON,755863.7957121134,2954014.950421512
15 HAYNES ST EAST BOSTON,780928.5604025126,2959007.0986054987
15 HINCKLEY ST DORCHESTER,775187.238820836,2941051.8941043913
15 HOLIDAY ST DORCHESTER,772327.9659211785,2935339.221048817
15 IRVING ST BOSTON,773330.8258203566,2956759.5732714385
15 JENKINS ST SOUTH BOSTON,776858.7641194612,2945825.1970033348
15 KENNEY ST JAMAICA PLAIN,761741.018994689,2943625.3500624
15 KING ST DORCHESTER,774914.9213271737,2931737.934841737
15 LASELL ST WEST ROXBURY,745432.9313145131,2929536.463068053
15 LEXINGTON ST CHARLESTOWN,775276.7467534989,2962833.7772089243
15 LEYLAND ST DORCHESTER,772217.0908178836,2942144.508700341
15 LOTHIAN RD BRIGHTON,749811.7609285712,2949300.88391082
15 MELVIN AV BRIGHTON,753122.1751587689,2950676.4099220783
15 MOULTRIE ST DORCHESTER,772907.1457660794,2931737.199387938
15 MOUNT VERNON ST BRIGHTON,749435.4740976244,2951638.6840816736
15 NOTTINGHILL RD BRIGHTON,750727.7870801091,2950560.812431246
15 ORIENT AV EAST BOSTON,791316.7829954028,2967572.7027837485
15 PERSHING RD JAMAICA PLAIN,760848.1003659964,2941575.8916291595
15 PURITAN AV ROXBURY,771908.3477975726,2937199.533285007
15 RENDALL RD WEST ROXBURY,751135.8771468699,2932340.840631798
15 REVERE ST JAMAICA PLAIN,761182.7493834347,2938700.9809616953
15 SAYWARD ST DORCHESTER,772776.9589524716,2939818.305837542
15 SEDALIA RD DORCHESTER,775998.9587536901,2929601.439745754
15 SEWALL ST ROXBURY,764884.8898334205,2946074.7012161463
15 THELMA RD DORCHESTER,776876.5668189079,2932765.8709332794
15 TOWER ST JAMAICA PLAIN,760889.4944394827,2934415.3746525645
15 TREADWAY RD DORCHESTER,775726.1002539247,2939573.7698691487
15 WAKULLAH ST ROXBURY,767972.8462246805,2942760.7911611497
15 WARNER ST DORCHESTER,769674.40295659,2933049.206625581
15 WEBSTER AV EAST BOSTON,781738.5463337004,2958961.853076607
15 WEST TREMLETT ST DORCHESTER,771755.6461788118,2932660.888834983
15 WESTCOTT ST DORCHESTER,770049.1871272027,2932125.6952962577
15 WILTSHIRE RD BRIGHTON,749668.6147658527,2950457.0269574076
150 FALCON ST EAST BOSTON,782414.8653516322,2964614.6634590626
150 MOUNT VERNON ST BOSTON,771996.1903749555,2955568.2457764894
150 ORIENT AV EAST BOSTON,789581.3170654029,2967643.8500760645
150 SAINT ANDREW RD EAST BOSTON,791584.4824319333,2965100.4881495982
1508 TREMONT ST ROXBURY,764454.8471360952,2946315.564754054
151 EAST COTTAGE ST DORCHESTER,774329.2394295931,2942231.9811315686
151 L ST SOUTH BOSTON,781774.3222901374,2946561.477279067
151 TOWNSEND ST ROXBURY,767544.2408677787,2940948.6590112746
1512 COLUMBIA RD SOUTH BOSTON,780482.0023522973,2945868.916888967
1512 TREMONT ST ROXBURY,764432.2503786385,2946327.4647714794
1516 TREMONT ST ROXBURY,764407.4058300555,2946332.1085332036
152 COTTAGE ST EAST BOSTON,782268.3319282234,2960094.6735889614
152 LAKE ST BRIGHTON,747305.0343991965,2951182.3631242067
152 MOUNT VERNON ST BOSTON,771968.1188413799,2955556.473677218
152 TRENTON ST EAST BOSTON,782119.205667302,2963854.949363336
152 WASHINGTON ST BRIGHTON,751844.3269073963,2951148.956828937
1520 COMMONWEALTH AV BRIGHTON,753179.8777387738,2951135.9297406673
154 BELGRADE AV ROSLINDALE,754450.6079344302,2929409.7536324114
154 BIGELOW ST BRIGHTON,746618.8892709613,2955030.1397560537
154 CHELSEA ST EAST BOSTON,781914.6276416034,2961547.309753552
154 FALCON ST EAST BOSTON,782467.8966508657,2964620.1448881477
154 KILSYTH RD BROOKLINE,751725.4960810393,2948775.305704728
155 EVERETT ST EAST BOSTON,782530.5535645634,2958878.2396609634
155 H ST SOUTH BOSTON,780108.7646910101,2946535.206881523
155 KILSYTH RD BROOKLINE,751656.2793549448,2948637.249958858
155 RUTHVEN ST ROXBURY,767488.404441312,2938879.243531212
155 WEST CANTON ST ROXBURY,771031.9783913791,2950361.3438740373
1554 COMMONWEALTH AV BRIGHTON,753018.0210508257,2950716.4005247205
156 MERIDIAN ST EAST BOSTON,780669.8838833123,2961676.526747942
156 RUTHVEN ST ROXBURY,767583.789956212,2939014.9976574928
156 WASHINGTON ST DORCHESTER,770085.3897799104,2936130.240013644
157 BAY STATE RD BOSTON,764112.2230415344,2953031.827416882
157 KILSYTH RD BROOKLINE,751737.1653619409,2948626.055154532
157 M ST SOUTH BOSTON,782319.6906144023,2946555.6169340163
157 WEST SEVENTH ST SOUTH BOSTON,777242.6280599385,2947425.9868879616
1576 TREMONT ST ROXBURY,763656.2171921581,2946696.4841576666
158 CENTRE ST ROXBURY,765122.5593487173,2943728.0148159266
158 KELTON ST ALLSTON,753740.4776982665,2952106.050756812
158 WEBSTER ST EAST BOSTON,781805.6719154716,2958789.2065072805
159 ADAMS ST DORCHESTER,774953.6684322655,2935877.1673983634
159 GOLD ST SOUTH BOSTON,777364.5646060705,2948324.4571041465
159 LEXINGTON ST EAST BOSTON,782087.839711979,2963443.3985509872
159 RUTHVEN ST DORCHESTER,767535.702104032,2938841.6588785797
159 WARREN AV BOSTON,770873.2842757255,2950726.5617019683
1593 DORCHESTER AV DORCHESTER,774790.3604931831,2933333.600742355
16 AUBURN ST CHARLESTOWN,772453.3372059017,2964133.827274218
16 BRAEMORE RD BROOKLINE,750411.1134365052,2948608.881159216
16 BREMEN ST EAST BOSTON,780827.4016357809,2959836.925761625
16 BRIGHTON ST CHARLESTOWN,770128.4473942369,2965050.5534979254
16 CHASE ST DORCHESTER,775185.3590589911,2941401.086781159
16 COBDEN ST ROXBURY,765777.0542590618,2940757.8922151774
16 COMMON ST CHARLESTOWN,775131.684540093,2961637.8419386894
16 DAWSON ST DORCHESTER,775610.0730427653,2930904.4500730634
16 DONALD RD DORCHESTER,767027.1067720354,2931281.22589612
16 DRAYTON AV DORCHESTER,772267.4452104568,2939090.741838455
16 EASTLAND RD JAMAICA PLAIN,760769.8746332973,2931608.6277300566
16 ELDORA ST ROXBURY,762095.8270668238,2945989.233138457
16 ENFIELD ST JAMAICA PLAIN,761672.5785473287,2940414.742234871
16 FALKLAND ST BRIGHTON,748467.0374884158,2954442.3788104206
16 FOLSOM ST DORCHESTER,772063.81795232,2941402.983477801
16 GARDNER ST ROXBURY,765821.970769152,2945508.8572170436
16 GATES ST SOUTH BOSTON,778359.125247851,2946890.3463917226
16 GREENWICH ST ROXBURY,768771.0506819785,2947632.611301765
16 HALL ST JAMAICA PLAIN,760595.2076828778,2936391.5048342645
16 HAMPSTEAD RD JAMAICA PLAIN,760059.8411673605,2935763.1025061607
16 HOWES ST DORCHESTER,775722.1239044219,2941136.4676622152
16 INTERVALE ST ROXBURY,769430.9272271097,2939110.6879986376
16 LAKE ST BRIGHTON,746372.1605494916,2949445.4011868387
16 LEEDS ST SOUTH BOSTON,776078.9287699163,2945783.909074709
16 MALBERT RD BRIGHTON,748337.919683516,2952726.9491578937
16 MALCOLM RD JAMAICA PLAIN,756101.743441835,2935449.143267691
16 MANSFIELD ST ALLSTON,755920.9076912552,2955434.75365448
16 MARCELLA ST ROXBURY,765934.1909787208,2942316.868890241
16 MELROSE ST BOSTON,773015.9784125686,2952638.7491354644
16 MICHIGAN AV ROXBURY,768975.164210543,2935535.5237072706
16 MITCHELL ST SOUTH BOSTON,777172.6265876889,2946479.137904078
16 MORSE ST DORCHESTER,770204.3461051583,2936249.8047817647
16 MOUNT IDA RD DORCHESTER,773751.2238515913,2937190.313198313
16 MOUNT VERNON ST DORCHESTER,775491.5149874985,2942873.68573831
16 OXFORD ST BOSTON,775033.4482344985,2953569.160787463
16 PEAK HILL RD WEST ROXBURY,752376.9962549806,2931268.799992934
16 PRATT ST ALLSTON,756298.5105974078,2954633.5810725987
16 RIVER ST BOSTON,772339.0787732154,2955252.8894177377
16 ROMSEY ST DORCHESTER,776319.3081542403,2940610.854376912
16 ROYCE RD ALLSTON,755850.7761840075,2952444.603546068
16 SAINT ANDREW RD EAST BOSTON,790015.9741909653,2965849.389078602
16 SAINT JAMES ST ROXBURY,768491.000036791,2944142.2597721517
16 TAFT ST DORCHESTER,775782.7075157911,2940888.400487423
16 WAUMBECK ST ROXBURY,768392.8453810811,2939526.5399455875
16 WENTWORTH ST DORCHESTER,771113.1247707903,2930293.76939933
16 WOODBINE ST ROXBURY,769659.1401734501,2941730.11344786
16 WYOMING ST DORCHESTER,768323.6304694265,2940073.3495415747
160 MAGNOLIA ST DORCHESTER,771931.4946333319,2939548.2908706963
160 MOUNT VERNON ST DORCHESTER,778224.5541377068,2942422.6318033934
160 PRINCE ST BOSTON,775625.3760460317,2959036.9080720395
160 STRATHMORE RD BRIGHTON,749741.8199377358,2948954.0243039876
161 SARATOGA ST EAST BOSTON,781995.3037781417,2962831.5031083673
162 ALLSTON ST ALLSTON,754070.6208515614,2952005.4744259417
162 L ST SOUTH BOSTON,781876.7082244158,2946549.4711167812
1625 COMMONWEALTH AV BRIGHTON,752423.361899361,2950316.7415648103
1629 COMMONWEALTH AV BRIGHTON,752403.9727728516,2950272.3089058995
163 COLERIDGE ST EAST BOSTON,787606.9653391838,2964289.304989144
163 HOMESTEAD ST ROXBURY,767623.7953767926,2938294.164935574
163 WACHUSETT ST JAMAICA PLAIN,759889.0314181,2932398.731308937
163 WASHINGTON ST ROXBURY,770029.9365030974,2935990.7983365506
163 WEST EIGHTH ST BOSTON,777033.0309854299,2947131.5764469057
164 INTERVALE ST ROXBURY,771355.6158631146,2938073.165605545
164 SYDNEY ST DORCHESTER,777116.8445944935,2940940.8789866716
1641 COMMONWEALTH AV BRIGHTON,752303.988252461,2950155.1080532223
165 RUTHVEN ST DORCHESTER,767662.6292726994,2938777.552830592
165 WILLOW ST WEST ROXBURY,749468.0251859277,2931516.904363796
166 EVERETT ST EAST BOSTON,782637.2400286496,2958920.2255449295
166 MOUNT VERNON ST WEST ROXBURY,747425.3424836993,2929753.425869584
166 PUTNAM ST EAST BOSTON,782960.6310386956,2962878.3181295395
1665 COMMONWEALTH AV BRIGHTON,752066.2860772014,2949975.7991555184
1669 COMMONWEALTH AV BRIGHTON,752020.5778656304,2949955.458656624
167 AMORY ST ROXBURY,763921.6183355749,2941243.099390641
167 FOREST HILLS ST JAMAICA PLAIN,763557.732005626,2936990.0653382987
167 KING ST DORCHESTER,777174.6064462513,2932544.7557813674
167 MAPLE ST WEST ROXBURY,748865.9398260415,2931582.0497846007
167 SYDNEY ST DORCHESTER,777211.1601934582,2940963.4509467483
167 WEST EIGHTH ST SOUTH BOSTON,777061.4191391319,2947084.7490270585
1673 COMMONWEALTH AV BRIGHTON,751975.9244496226,2949934.681482032
1677 COMMONWEALTH AV BRIGHTON,751938.1562359333,2949935.2578697503
168 HUMBOLDT AV ROXBURY,767487.9263358563,2939741.4518229216
168 NEWBURY ST BOSTON,770038.9161762297,2952983.8311940134
168 PARIS ST EAST BOSTON,781501.25724639,2961607.9662450105
168 PRINCETON ST EAST BOSTON,782231.2163088322,2963358.508675456
1681 DORCHESTER AV DORCHESTER,774540.900431782,2932163.8874845356
1682 COMMONWEALTH AV BRIGHTON,752008.3430836648,2949635.238081455
169 BOYLSTON ST JAMAICA PLAIN,763616.148568511,2940256.766335815
169 PURCHASE ST BOSTON,776674.9033917785,2954542.050944403
1690 COLUMBIA RD SOUTH BOSTON,782120.3203394562,2945613.463725865
17 ALLSTON ST CHARLESTOWN,774092.3785505742,2963857.7027789652
17 ALLSTON ST DORCHESTER,773360.440536797,2932024.427360609
17 ASHFORD ST ALLSTON,756467.6834176481,2954313.0251280665
